Cell type (Lockwood et al)_x,Cell type (Lockwood et al)_y,n_cells,syn_count,syn_per_post_neuron
JO-A,A2,4,4753,1188.25
JO-A,WV-WV-1,3,2990,996.6666666666666
B1-2,WV-WV-1,3,2386,795.3333333333334
B1-1,WV-WV-1,3,2284,761.3333333333334
JO-A,SAD_pr01,2,1388,694.0
WV-WV-3,GF,2,1372,686.0
B1-2,WV-WV-2,6,3223,537.1666666666666
JO-A,WV-WV-3,7,3485,497.85714285714283
B1-2,AVLP_pr23,2,988,494.0
JO-A,GF,2,985,492.5
B1-4,A1,5,2291,458.2
pC2la,pMN1,2,898,449.0
B1-4,GF,2,727,363.5
JO-B,B1-3,8,2417,302.125
WED_pr02,WV-WV-1,3,895,298.3333333333333
B1-5,WED_pr02,21,6248,297.5238095238095
B1-3,WV-WV-2,6,1739,289.8333333333333
WV-WV-3,A1,5,1381,276.2
B1-3,WED_pr02,21,5537,263.6666666666667
A2,AVLP_pr23,2,497,248.5
JO-B,GF,2,488,244.0
B1-2,WED-VLP-2,10,2302,230.2
JO-B,B1-4,14,3222,230.14285714285714
AVLP_pr01-1,vpoEN,4,913,228.25
WED_pr02,A2,4,913,228.25
B1-4,WV-WV-3,7,1574,224.85714285714286
JO-B,IPS_pr02,2,449,224.5
WED-VLP-1,AVLP_pr01-2,8,1743,217.875
B1-2,WED_pr02,21,4316,205.52380952380952
WED_pr02,WV-WV-2,6,1182,197.0
JO-A,AVLP_pr23,2,387,193.5
WED-VLP-2,AVLP_pr01-2,8,1495,186.875
B1-u,WV-WV-1,3,527,175.66666666666666
JO-B,B1-1,13,2280,175.3846153846154
vpoIN-1,pMN2,2,337,168.5
B1-1,WED-VLP-1,22,3640,165.45454545454547
vpoEN,pMN1,2,324,162.0
pC2lb,pMN1,2,322,161.0
WED-VLP-1,vpoIN-3,2,314,157.0
WED_pr02,GF,2,308,154.0
A2,WV-WV-4,2,308,154.0
JO-B,B1-7,14,2139,152.78571428571428
WED_pr02,AVLP_pr23,2,305,152.5
JO-B,B1-5,23,3480,151.30434782608697
B1-5,WED_pr01-1,10,1512,151.2
WED_pr02,WV-WV-4,2,301,150.5
JO-B,B1-2,16,2314,144.625
A2,AVLP_pr01-1,10,1444,144.4
WED-VLP-2,WV-WV-1,3,422,140.66666666666666
B1-1,AVLP_pr23,2,248,124.0
aPN2,IPS_pr02,2,235,117.5
JO-B,B2,6,705,117.5
A1,GF,2,231,115.5
B1-3,WV-WV-1,3,344,114.66666666666667
B2,B1-7,14,1589,113.5
WED_pr02,B1-3,8,902,112.75
WV-WV-1,WED-VLP-1,22,2424,110.18181818181819
WV-WV-2,WED_pr02,21,2243,106.80952380952381
AVLP_pr01-1,WV-WV-1,3,315,105.0
aPN3,IPS_pr02,2,208,104.0
vpoIN-1,pC1e,2,206,103.0
vpoEN,pMN2,2,204,102.0
WV-WV-4,A2,4,404,101.0
pC2la,pC1d,2,201,100.5
AVLP_pr36/asp10a-1,pMN1,2,201,100.5
WED-VLP-1,AVLP_pr01-1,10,999,99.9
B2,B1-3,8,769,96.125
WV-WV-1,WED_pr02,21,2011,95.76190476190476
WV-WV-1,AVLP_pr01-1,10,935,93.5
JO-B,B1-u,22,1962,89.18181818181819
WED-VLP-1,AVLP_pr31,8,713,89.125
WV-WV-1,AVLP_pr23,2,178,89.0
A2,WED-VLP-1,22,1948,88.54545454545455
JO-B,AVLP_pr23,2,173,86.5
AVLP_pr01-1,A2,4,339,84.75
JO-B,WV-WV-3,7,588,84.0
B1-6,aPN3,10,831,83.1
JO-B,WV-WV-1,3,247,82.33333333333333
WED_pr02,B1-2,16,1303,81.4375
SAD_pr01,GF,2,162,81.0
WED_pr02,WED-VLP-1,22,1757,79.86363636363636
B2,B1-2,16,1275,79.6875
WED_pr02,WED-VLP-2,10,796,79.6
B1-5,AVLP_pr04,2,158,79.0
B1-3,AVLP_pr23,2,158,79.0
WV-WV-1,WED-VLP-2,10,765,76.5
SAD_pr02,WV-WV-3,7,520,74.28571428571429
WED_pr02,vpoEN,4,296,74.0
vpoEN,pC2lb,8,590,73.75
JO-B,IPS_pr01-2,7,507,72.42857142857143
JO-B,SAD_pr01,2,144,72.0
AVLP_pr36/asp10a-1,pC1d,2,144,72.0
JO-A,AVLP_pr01-1,10,713,71.3
PVLP_pr03-3,GF,2,134,67.0
B1-5,GF,2,132,66.0
WED-VLP-2,vpoEN,4,255,63.75
vpoEN,pC1d,2,122,61.0
GNG_pr01-1,A1,5,301,60.2
WED-VLP-1,AVLP_pr01-3,2,119,59.5
IPS_pr01-2,WED_pr01-2,3,166,55.333333333333336
vpoIN-1,pC2lb,8,427,53.375
B1-u,WED-VLP-2,10,522,52.2
JO-B,WV-WV-2,6,309,51.5
AVLP/PVLP_pr01-2,GF,2,102,51.0
JO-A,WV-WV-2,6,296,49.333333333333336
AVLP_pr36/asp10a-1,PVLP_pr03-2,5,244,48.8
B1-u,AVLP_pr23,2,96,48.0
pMN2,pC1d,2,96,48.0
B1-5,WV-WV-2,6,288,48.0
WED-VLP-2,WED_pr02,21,982,46.76190476190476
vpoIN-2,pMN2,2,93,46.5
WV-WV-3,SAD_pr01,2,92,46.0
AVLP/PVLP_pr01-2,A1,5,226,45.2
JO-B,B1-6,12,539,44.916666666666664
WV-WV-3,A2,4,173,43.25
vpoIN-1,pMN1,2,86,43.0
WED_pr02,B1-5,23,966,42.0
AVLP_pr36/asp10a-1,pC2lb,8,336,42.0
B2,B1-4,14,567,40.5
WV-WV-2,WV-WV-1,3,120,40.0
B1-6,WV-WV-3,7,277,39.57142857142857
AVLP_pr23,AVLP/PVLP_pr01-2,6,233,38.833333333333336
WED-VLP-1,pC2lb,8,310,38.75
B1-2,WV-WV-4,2,77,38.5
WED-VLP-1,AVLP_pr32,3,115,38.333333333333336
B1-3,WV-WV-3,7,265,37.857142857142854
A2,WV-WV-2,6,224,37.333333333333336
JO-A,SAD_pr02,17,624,36.705882352941174
B1-6,IPS_pr01-1,8,293,36.625
SAD_pr02,A2,4,144,36.0
JO-A,B1-4,14,492,35.142857142857146
B1-4,SAD_pr01,2,70,35.0
B2,B1-6,12,416,34.666666666666664
B1-2,WV-WV-3,7,234,33.42857142857143
AVLP_pr23,A1,5,167,33.4
B1-4,WV-WV-2,6,197,32.833333333333336
AVLP_pr01-1,vpoIN-3,2,65,32.5
B1-1,WED_pr02,21,676,32.19047619047619
WED-VLP-2,AVLP_pr01-3,2,64,32.0
WED_pr02,B1-1,13,413,31.76923076923077
AVLP_pr01-2,WED-VLP-2,10,314,31.4
SAD_pr02,WV-WV-1,3,94,31.333333333333332
pC2lb,AVLP_pr36/asp10a-1,19,588,30.94736842105263
pC2lb,pMN2,2,61,30.5
pC2lb,pC2la,17,518,30.470588235294116
SAD_pr01,AVLP_pr23,2,60,30.0
PVLP_pr03-3,A1,5,149,29.8
AVLP_pr01-2,vpoEN,4,119,29.75
WV-WV-1,WV-WV-2,6,177,29.5
AVLP_pr01-2,WED-VLP-1,22,622,28.272727272727273
AVLP_pr01-1,AVLP_pr23,2,56,28.0
WV-WV-2,WV-WV-3,7,195,27.857142857142858
JO-A,WV-WV-4,2,55,27.5
B2,B1-5,23,613,26.652173913043477
A2,WV-WV-1,3,78,26.0
AVLP_pr02,pMN2,2,52,26.0
JO-B,aPN2,14,361,25.785714285714285
B1-5,SAD_pr02,17,437,25.705882352941178
AVLP_pr23,vpoEN,4,99,24.75
WED-VLP-1,WV-WV-1,3,74,24.666666666666668
B1-2,AVLP_pr01-1,10,240,24.0
pC2lb,PVLP_pr03-2,5,120,24.0
vpoEN,AVLP_pr36/asp10a-1,19,452,23.789473684210527
WV-WV-3,B1-4,14,330,23.571428571428573
B1-4,AVLP/PVLP_pr01-2,6,140,23.333333333333332
WED-VLP-1,WED_pr02,21,463,22.047619047619047
WV-WV-3,AVLP_pr23,2,43,21.5
B1-7,WV-WV-3,7,146,20.857142857142858
WV-WV-4,WV-WV-1,3,62,20.666666666666668
vpoIN-1,pC1d,2,41,20.5
B1-6,A1,5,102,20.4
SAD_pr02,B1-3,8,162,20.25
GNG_pr01-1,AVLP_pr23,2,40,20.0
AVLP_pr01-1,WED-VLP-1,22,437,19.863636363636363
WV-WV-3,WV-WV-1,3,56,18.666666666666668
JO-B,SAD_pr02,17,317,18.647058823529413
aPN3,B1-5,23,418,18.17391304347826
AVLP_pr36/asp10a-1,pMN2,2,36,18.0
AVLP_pr12,AVLP_pr04,2,36,18.0
WED-VLP-2,pC2lb,8,144,18.0
pMN2,pC1e,2,36,18.0
pC2la,pC1e,2,36,18.0
aPN3,aPN2,14,251,17.928571428571427
WV-WV-3,WV-WV-2,6,107,17.833333333333332
AVLP_pr01-1,AVLP_pr02,6,105,17.5
B1-3,GF,2,34,17.0
WV-WV-1,WV-WV-3,7,118,16.857142857142858
IPS_pr01-1,WED_pr01-1,10,167,16.7
WV-WV-1,WV-WV-4,2,33,16.5
AVLP_pr01-1,AVLP_pr01-2,8,130,16.25
AVLP_pr36/asp10a-2,vpoIN-2,4,64,16.0
B1-4,WED_pr01-1,10,158,15.8
AVLP_pr04,AVLP_pr11,3,47,15.666666666666666
B1-5,WV-WV-1,3,47,15.666666666666666
pC2lb,pC1d,2,31,15.5
B1-u,WED_pr02,21,319,15.19047619047619
pC2lc,pC1d,2,30,15.0
GNG_pr01-1,AVLP_pr04,2,30,15.0
WV-WV-3,AVLP/PVLP_pr01-2,6,90,15.0
A2,WV-WV-3,7,102,14.571428571428571
AVLP_pr01-2,vpoIN-3,2,29,14.5
B1-1,WED-VLP-2,10,144,14.4
aPN2,IPS_pr01-1,8,115,14.375
B1-u,WV-WV-3,7,100,14.285714285714286
B1-5,A1,5,70,14.0
WED-VLP-2,AVLP_pr22,9,124,13.777777777777779
pC1d,pC1e,2,27,13.5
AVLP_pr02,pC2lb,8,106,13.25
B1-u,WED-VLP-1,22,290,13.181818181818182
aPN3,B1-4,14,183,13.071428571428571
AVLP_pr22,PVLP_pr03-3,4,52,13.0
vpoIN-3,pMN2,2,26,13.0
AVLP_pr11,AVLP_pr04,2,26,13.0
B1-u,WV-WV-2,6,76,12.666666666666666
B2,WV-WV-3,7,85,12.142857142857142
B1-6,GF,2,24,12.0
AVLP_pr36/asp10a-1,AVLP_pr12,16,186,11.625
AVLP_pr36/asp10a-1,pC2la,17,196,11.529411764705882
pC1e,pMN2,2,23,11.5
pC1e,pC1d,2,23,11.5
B1-7,WED_pr01-1,10,110,11.0
JO-A,WED_pr02,21,230,10.952380952380953
AVLP_pr01-2,AVLP_pr22,9,97,10.777777777777779
JO-B,WED_pr02,21,222,10.571428571428571
pcC2lc,pC1d,2,21,10.5
AVLP_pr05-3,AVLP_pr18-1,2,21,10.5
B1-u,WED_pr01-1,10,102,10.2
