Source,Target,total_synapses,n_postsyn_neurons,Weight
B1-5,WED_pr02,6248,10,624.8
B1-3,WED_pr02,5537,14,395.5
JO-A,A2,4753,4,1188.25
B1-2,WED_pr02,4316,16,269.75
B1-1,WED-VLP-1,3640,22,165.45454545454547
JO-A,WV-WV-3,3485,7,497.85714285714283
JO-B,B1-5,3480,22,158.1818181818182
B1-2,WV-WV-2,3223,6,537.1666666666666
JO-B,B1-4,3222,14,230.14285714285714
JO-A,WV-WV-1,2990,3,996.6666666666666
WV-WV-1,WED-VLP-1,2424,22,110.18181818181819
JO-B,B1-3,2417,7,345.2857142857143
B1-2,WV-WV-1,2386,3,795.3333333333334
JO-B,B1-2,2314,9,257.1111111111111
B1-2,WED-VLP-2,2302,10,230.2
B1-4,A1,2291,5,458.2
B1-1,WV-WV-1,2284,3,761.3333333333334
JO-B,B1-1,2280,7,325.7142857142857
WV-WV-2,WED_pr02,2243,21,106.80952380952381
JO-B,B1-7,2139,11,194.45454545454547
WV-WV-1,WED_pr02,2011,21,95.76190476190476
JO-B,B1-u,1962,5,392.4
A2,WED-VLP-1,1948,22,88.54545454545455
WED_pr02,WED-VLP-1,1757,22,79.86363636363636
WED-VLP-1,AVLP_pr01-2,1743,8,217.875
B1-3,WV-WV-2,1739,6,289.8333333333333
B2,B1-7,1589,11,144.45454545454547
B1-4,WV-WV-3,1574,6,262.3333333333333
B1-5,WED_pr01-1,1512,10,151.2
WED-VLP-2,AVLP_pr01-2,1495,8,186.875
A2,AVLP_pr01-1,1444,10,144.4
JO-A,SAD_pr01,1388,2,694.0
WV-WV-3,A1,1381,5,276.2
WV-WV-3,GF,1372,2,686.0
WED_pr02,B1-2,1303,16,81.4375
B2,B1-2,1275,11,115.9090909090909
WED_pr02,WV-WV-2,1182,6,197.0
WED-VLP-1,AVLP_pr01-1,999,9,111.0
B1-2,AVLP_pr23,988,2,494.0
JO-A,GF,985,2,492.5
WED-VLP-2,WED_pr02,982,9,109.11111111111111
WED_pr02,B1-5,966,13,74.3076923076923
WV-WV-1,AVLP_pr01-1,935,10,93.5
AVLP_pr01-1,vpoEN,913,4,228.25
WED_pr02,A2,913,4,228.25
WED_pr02,B1-3,902,8,112.75
pC2la,pMN1,898,2,449.0
WED_pr02,WV-WV-1,895,3,298.3333333333333
B1-6,aPN3,831,10,83.1
WED_pr02,WED-VLP-2,796,10,79.6
B2,B1-3,769,8,96.125
WV-WV-1,WED-VLP-2,765,10,76.5
B1-4,GF,727,2,363.5
JO-A,AVLP_pr01-1,713,9,79.22222222222223
WED-VLP-1,AVLP_pr31,713,8,89.125
JO-B,B2,705,6,117.5
B1-1,WED_pr02,676,5,135.2
JO-A,SAD_pr02,624,13,48.0
AVLP_pr01-2,WED-VLP-1,622,16,38.875
B2,B1-5,613,11,55.72727272727273
vpoEN,pC2lb,590,8,73.75
JO-B,WV-WV-3,588,6,98.0
pC2lb,AVLP_pr36/asp10a-1,588,17,34.588235294117645
B2,B1-4,567,10,56.7
JO-B,B1-6,539,7,77.0
B1-u,WV-WV-1,527,3,175.66666666666666
B1-u,WED-VLP-2,522,7,74.57142857142857
SAD_pr02,WV-WV-3,520,5,104.0
pC2lb,pC2la,518,11,47.09090909090909
JO-B,IPS_pr01-2,507,7,72.42857142857143
A2,AVLP_pr23,497,2,248.5
SAD_pr02,JO-A,495,39,12.692307692307692
JO-A,B1-4,492,7,70.28571428571429
JO-B,GF,488,2,244.0
WED-VLP-1,WED_pr02,463,4,115.75
vpoEN,AVLP_pr36/asp10a-1,452,16,28.25
JO-B,IPS_pr02,449,2,224.5
B1-5,SAD_pr02,437,8,54.625
AVLP_pr01-1,WED-VLP-1,437,18,24.27777777777778
vpoIN-1,pC2lb,427,7,61.0
