Baker et al 2022,Dec 2025,Song type preference of parent cell type
A1,A1,intermediate
A2,A2,pulse
B1-1,B1-1,pulse
B1-2,B1-2,pulse
B1-3,B1-3,pulse
B1-4,B1-4,unknown
B1-5,B1-5,unknown
,B1-6,unknown
B1-u,B1-7,unknown
,B1-u,unknown
B2,B2,intermediate
GF,GF,intermediate
WED-VLP-1,WED-VLP-1,intermediate
WED-VLP-2,WED-VLP-2,intermediate
WV-WV-1,WV-WV-1,unknown
WV-WV-2,WV-WV-2,unknown
WV-WV-3,WV-WV-3,unknown
,WV-WV-4,unknown
AVLP_pr01,AVLP_pr01-1,sine
,AVLP_pr01-2,sine
,AVLP_pr01-3,sine
AVLP_pr02,AVLP_pr02,sine
WED_pr01,WED_pr01-1,sine
,WED_pr01-2,sine
GNG_pr01,GNG_pr01-1,sine
,GNG_pr01-2,sine
AVLP_pr22,AVLP_pr22,sine
IPS/WED_pr01,IPS/WED_pr01,sine
AVLP_pr31,AVLP_pr31,sine
AVLP_pr32,AVLP_pr32,sine
SAD_pr02,SAD_pr02,sine
AVLP_pr04,AVLP_pr04,pulse
AVLP_pr12,AVLP_pr12,pulse
AVLP-PVLP_pr01,AVLP-PVLP_pr01-1,pulse
,AVLP-PVLP_pr01-2,pulse
AVLP_pr36,AVLP_pr36-1,pulse
,AVLP_pr36-2,pulse
AVLP_pr18,AVLP_pr18-1,pulse
,AVLP_pr18-2,pulse
AVLP_pr05,AVLP_pr05-1,intermediate
,AVLP_pr05-2,intermediate
,AVLP_pr05-3,intermediate
IPS_pr01,IPS_pr01-1,intermediate
,IPS_pr01-2,intermediate
WED_pr02,WED_pr02,intermediate
AVLP_pr11,AVLP_pr11,intermediate
IPS_pr02,IPS_pr02,intermediate
AVLP_pr23,AVLP_pr23,intermediate
PVLP_pr03,PVLP_pr03-1,intermediate
,PVLP_pr03-2,intermediate
,PVLP_pr03-3,intermediate
SAD_pr01,SAD_pr01,intermediate
AVLP_pr35,AVLP_pr35,intermediate
vpoEN,vpoEN,pulse
vpoIN,vpoIN-1,pulse
,vpoIN-2,pulse
,vpoIN-3,pulse
pMN1,pMN1,pulse
pMN2,pMN2,pulse
pC2la,pC2la,pulse
pC2lb,pC2lb,pulse
pC2lc,pC2lc,pulse
pC2ld,pC2ld,pulse
pC1d,pC1d,pulse
pC2d,pC2d,pulse
,aPN2,intermediate
,aPN3,intermediate
,,
48,65,
