type_baker,Id,nt,mode preference
A1,A1,inconclusive,intermediate
A2,A2,Ach,pulse
,A2,Ach,
B1-1,B1-1,Ach,pulse
put_B1,B1-1,Ach,
B1-2,B1-2,Ach,pulse
B1-3,B1-3,Ach,pulse
B1-4,B1-4,Ach,unknown
B1-4,B1-4,,unknown
B1-5,B1-5,Ach,unknown
B1,B1-6,Ach,
B1,B1-7,Ach,
put_B1,B1-7,Ach,
B1,B1-u,Ach,
put_B1,B1-u,Ach,
B2,B2,GABA,intermediate
GF,GF,Inconclusive,intermediate
WED-VLP-1,WED-VLP-1,Ach,intermediate
put_WED-VLP,WED-VLP-1,Ach,
WED-VLP-2,WED-VLP-2,Ach,intermediate
put_WED-VLP,WED-VLP-2,Ach,
WV-WV-1,WV-WV-1,GABA,unknown
WV-WV-2,WV-WV-2,GABA,unknown
WV-WV-3,WV-WV-3,GABA,unknown
WV-WV-3,WV-WV-4,GABA,unknown
AVLP_pr01,AVLP_pr01-1,GABA,
AVLP_pr01,AVLP_pr01-2,GABA,
put_AVLP_pr01,AVLP_pr01-2,GABA,
AVLP_pr01,AVLP_pr01-3,GABA,
AVLP_pr02,AVLP_pr02,GABA,sine
WED_pr01,WED_pr01-1,Ach,
put_WED_pr01,WED_pr01-1,Ach,
WED_pr01,WED_pr01-2,Ach,
put_WED_pr01,WED_pr01-2,Ach,
GNG_pr01,GNG_pr01-1,GABA,
put_GNG_pr01,GNG_pr01-1,GABA,
GNG_pr01,GNG_pr01-2,GABA,
put_GNG_pr01,GNG_pr01-2,GABA,
AVLP_pr22,AVLP_pr22,Ach,sine
put_AVLP_pr22,AVLP_pr22,Ach,
IPS/WED_pr01,IPS/WED_pr01,GABA,sine
put_IPS/WED_pr01,IPS/WED_pr01,GABA,
AVLP_pr31,AVLP_pr31,Ach,sine
put_AVLP_pr31,AVLP_pr31,Ach,
AVLP_pr32,AVLP_pr32,Ach,sine
sad_pr0,SAD_pr02,GABA,
SAD_pr02,SAD_pr02,GABA,sine
put_SAD_pr02,SAD_pr02,GABA,
AVLP_pr04,AVLP_pr04,SER,pulse
AVLP_pr12,AVLP_pr12,Ach,pulse
put_AVLP_pr12,AVLP_pr12,Ach,
,AVLP/PVLP_pr01-1,Ach,
AVLP/PVLP_pr01,AVLP/PVLP_pr01-1,Ach,
,AVLP/PVLP_pr01-2,Ach,
AVLP/PVLP_pr01,AVLP/PVLP_pr01-2,Ach,
put_AVLP/PVLP,AVLP/PVLP_pr01-2,Ach,
AVLP_pr36,AVLP_pr36/asp10a-1,Ach,
put_AVLP_pr36,AVLP_pr36/asp10a-1,Ach,
AVLP_pr36,AVLP_pr36/asp10a-2,Ach,
put_AVLP_pr36,AVLP_pr36/asp10a-2,Ach,
put_AVLP_pr18,AVLP_pr18-1,Inconclusive,
put_AVLP_pr18,AVLP_pr18-2,Inconclusive,
AVLP_pr05,AVLP_pr05-1,GABA,
put_AVLP_pr05,AVLP_pr05-1,GABA,
put_AVLP_pr05,AVLP_pr05-1,,
AVLP_pr05,AVLP_pr05-2,GABA,
AVLP_pr05,AVLP_pr05-3,GABA,
put_AVLP_pr05,AVLP_pr05-3,GABA,
IPS_pr01,IPS_pr01-1,GABA,
put_IPS_pr01,IPS_pr01-1,GABA,
put_IPS_pr01,IPS_pr01-2,GABA,
IPS_pr01,IPS_pr01-2,GABA,
put_AVLP_pr11,AVLP_pr11,Ach,
AVLP_pr11,AVLP_pr11,Ach,intermediate
put_WED_pr02,WED_pr02,GABA,
WED_pr02,WED_pr02,GABA,intermediate
IPS_pr02,IPS_pr02,GABA,intermediate
put_AVLP_pr23,AVLP_pr23,Ach,
AVLP_pr23,AVLP_pr23,Ach,intermediate
PVLP_pr03,PVLP_pr03-1,GABA,
put_PVLP_pr03,PVLP_pr03-1,GABA,
put_PVLP_pr03,PVLP_pr03-2,GABA,
PVLP_pr03,PVLP_pr03-2,GABA,
put_PVLP_pr03,PVLP_pr03-3,GABA,
PVLP_pr03,PVLP_pr03-3,GABA,
,SAD_pr01,GABA,
,AVLP_pr35,GABA,
,vpoEN,Ach,
vpoIN,vpoIN-1,GABA,
put_vpoIN,vpoIN-1,GABA,
vpoIN,vpoIN-2,GABA,
put_vpoIN,vpoIN-2,GABA,
vpoIN,vpoIN-3,GABA,
pMN1,pMN1,Ach,pulse
pMN2,pMN2,Ach,pulse
pC2la,pC2la,Ach,pulse
,pC2la,Ach,
pC2lb,pC2la,Ach,pulse
pC2lc,pC2la,Ach,pulse
pC2lb,pC2lb,Ach,pulse
pC2lc,pC2lc,Ach,pulse
,pcC2lc,Ach,
pC2ld,pC2ld,Ach,pulse
pC1d,pC1d,Ach,pulse
pC1e,pC1e,Ach,
,aPN3,GLUT,
,aPN2,Ach,
,aPN2,,
,JO-A,Ach,
,JO-B,Ach,
