Neuron name (Baker et al 2022),Cell type (Baker et al 2022),Neuron name (Lockwood et al),Cell type (Lockwood et al),Coordinates ,Codex June 2024,HB type,FAFB NT,BANC NT,NT2026 (FAFB and BANC),JOA (L+R) influence score,JOB (L+R) influence score,JOA L influence,JOB L influence
A1_L1,A1,A1_R1,A1,[160548  55409   4977],720575940631693610,AMMC-A1,inconclusive,inconclusive,inconclusive,,,,
A1_L2,A1,A1_R2,A1,[161229  56723   4921],720575940631200327,AMMC-A1,inconclusive,inconclusive,inconclusive,,,,
A1_L3,A1,A1_R3,A1,[159857  56701   5018],720575940618522433,AMMC-A1,inconclusive,inconclusive,inconclusive,,,,
A1_R1,A1,A1_L1,A1,[105496  54286   5405],720575940612001489,AMMC-A1,inconclusive,inconclusive,inconclusive,,,,
A1_R2,A1,A1_L2,A1,[105654  55604   5474],720575940616313942,AMMC-A1,inconclusive,inconclusive,inconclusive,,,,
A2_L,A2,A2_R1,A2,[155842  69317   1498],720575940638214461,CB1817b,Ach,Ach,Ach,,,,
,,A2_R2,A2,,720575940625146122,CB1817a,Ach,Ach,Ach,,,,
A2_R,A2,A2_L1,A2,[103189  65009   1685],720575940632649697,CB1817b,Ach,Ach,Ach,,,,
,,A2_L2,A2,,720575940629133071,CB1817a,Ach,Ach,Ach,,,,
B1-1_L1,B1-1,B1-1_R1,B1-1,[155383  68155   1637],720575940626562570,CB1078,Ach,Ach,Ach,,,,
B1-1_L2,B1-1,B1-1_R2,B1-1,[154440  65207   1796],720575940635547113,CB1078,Ach,Ach,Ach,,,,
B1-1_L3,B1-1,B1-1_R3,B1-1,[153922  68380   1690],720575940629913169,CB1078,Ach,Ach,Ach,,,,
B1-1_L4,B1-1,B1-1_R4,B1-1,[158001  69225   1270],720575940609843865,CB1078,Ach,Ach,Ach,,,,
B1-1_L5,B1-1,B1-1_R5,B1-1,[156860  68596   1532],720575940622097959,CB1078,Ach,Ach,Ach,,,,
B1-1_L6,B1-1,B1-1_R6,B1-1,[156122  66164   1650],720575940625683176,CB1078,Ach,Ach,Ach,,,,
B1-1_R1,B1-1,B1-1_L1,B1-1,[105982  60513   2109],720575940630223052,CB1078,Ach,Ach,Ach,,,,
B1-1_R2,B1-1,B1-1_L2,B1-1,[105598  62033   2093],720575940611277293,CB1078,Ach,Ach,Ach,,,,
B1-1_R3,B1-1,B1-1_L3,B1-1,[106343  64669   2052],720575940616809401,CB1078,Ach,Ach,Ach,,,,
B1-1_R4,B1-1,B1-1_L4,B1-1,[104671  61966   1999],720575940619942859,CB1078,Ach,Ach,Ach,,,,
B1-1_R5,B1-1,B1-1_L5,B1-1,[104284  60515   1731],720575940607188036,CB1078,Ach,Ach,Ach,,,,
B1-1_R6,B1-1,B1-1_L6,B1-1,[105704  64095   2163],720575940606332629,CB1078,Ach,Ach,Ach,,,,
,put_B1,B1-1_L7,B1-1,,720575940620694015,CB1078,Ach,Ach,Ach,,,,
B1-2_L1,B1-2,B1-2_R1,B1-2,[159198  68123   1195],720575940627957719,CB1078,Ach,Ach,Ach,,,,
B1-2_L2,B1-2,B1-2_R2,B1-2,[156940  63189   1529],720575940610077026,CB1542,Ach,Ach,Ach,,,,
B1-2_L3,B1-2,B1-2_R3,B1-2,[156590  69949   1284],720575940632715359,CB1078,Ach,Ach,Ach,,,,
